Model,Accuracy,F1 (Weighted),F1 (Macro),Precision,Recall,CV F1 Mean,CV F1 Std
Gaussian NB,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
Logistic Regression,1.0000,1.0000,1.0000,1.0000,1.0000,0.9678,0.0456
SVM (RBF),1.0000,1.0000,1.0000,1.0000,1.0000,0.9813,0.0287
KNN,1.0000,1.0000,1.0000,1.0000,1.0000,0.9757,0.0299
Soft Voting,1.0000,1.0000,1.0000,1.0000,1.0000,0.9869,0.0262
Hard Voting,1.0000,1.0000,1.0000,1.0000,1.0000,0.9734,0.0457
Weighted Voting,1.0000,1.0000,1.0000,1.0000,1.0000,0.9869,0.0262
Random Forest,0.9767,0.9760,0.9689,0.9775,0.9767,0.9805,0.0297
